Name ,Id ,Number  of  calls ,Min  time ,Max  time ,Average  time
var_decl ,3 ,1 ,0.000020 ,0.000020 ,0.000020000000000
var_decl ,4 ,1 ,0.000017 ,0.000017 ,0.000017000000000
var_decl ,5 ,1 ,0.000017 ,0.000017 ,0.000017000000000
assignment ,6 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,7 ,1 ,0.000022 ,0.000022 ,0.000022000000000
assignment ,8 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,9 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_true_jmp_up ,10 ,600000 ,0.000000 ,0.000416 ,0.000000000693333
assignment ,11 ,600000 ,0.000001 ,0.002708 ,0.000000004513333
b_and ,12 ,600000 ,0.000002 ,0.000531 ,0.000000000885000
assignment ,13 ,600000 ,0.000001 ,0.000536 ,0.000000000893333
jmp_down ,14 ,600001 ,0.000003 ,0.001213 ,0.000000002021663
assignment ,15 ,600001 ,0.000001 ,0.001478 ,0.000000002463329
assignment ,16 ,600001 ,0.000001 ,0.001407 ,0.000000002344996
less_than ,17 ,600001 ,0.000002 ,0.003902 ,0.000000006503322
is_true_jmp_up ,18 ,1 ,0.000001 ,0.000001 ,0.000001000000000
assignment ,19 ,1 ,0.000003 ,0.000003 ,0.000003000000000
assignment ,20 ,1 ,0.000000 ,0.000000 ,0.000000000000000
assignment ,21 ,1 ,0.000002 ,0.000002 ,0.000002000000000
assignment ,22 ,1 ,0.000002 ,0.000002 ,0.000002000000000
not_equal_value ,23 ,1 ,0.000004 ,0.000004 ,0.000004000000000
is_false_jmp_down ,30 ,2 ,0.000001 ,0.000001 ,0.000000500000000
